webgazer.js:138927 loaded stored data into regression model
favicon.ico:1 Failed to load resource: the server responded with a status of 404 (Not Found)
webgazer.js:138659 Out of Border
webgazer.js:138659 Out of Border
2webgazer.js:138652 Red Border!
test1.js:13 x : 1445.3720643480588, y : 209.63919364401954, time stamp : 1626780156572
test1.js:13 x : 869.5377326967715, y : 355.03788557759464, time stamp : 1626780157841
test1.js:13 x : 533.7533067439631, y : 218.61332917025135, time stamp : 1626780159098
test1.js:13 x : 467.0651059478986, y : 425.4180019112328, time stamp : 1626780160439
9webgazer.js:138652 Red Border!
test1.js:13 x : -605.3153591257959, y : -484.6184396392655, time stamp : 1626780161794
13webgazer.js:138652 Red Border!
test1.js:13 x : 734.6237334325226, y : 340.63656634630894, time stamp : 1626780163116
test1.js:13 x : 461.8199569434242, y : 310.1747047740662, time stamp : 1626780164397
test1.js:13 x : 548.7202077135863, y : 223.2594456168814, time stamp : 1626780165687
test1.js:13 x : 479.08925606321714, y : 244.77655020216304, time stamp : 1626780167052
test1.js:13 x : 484.07988119568955, y : 182.28880218639625, time stamp : 1626780168301
test1.js:13 x : 722.452958157742, y : 539.7378269840084, time stamp : 1626780169577
test1.js:13 x : 801.5164314028048, y : 467.33475319522535, time stamp : 1626780170851
2webgazer.js:138652 Red Border!
test1.js:13 x : 137.5524713862896, y : 247.0164628015498, time stamp : 1626780172169
16webgazer.js:138652 Red Border!
test1.js:13 x : 615.9295370390172, y : 783.0959045720545, time stamp : 1626780173430
test1.js:13 x : 547.1810854441256, y : 557.3991565113504, time stamp : 1626780174802
test1.js:13 x : 460.0400675083147, y : 309.95899121463043, time stamp : 1626780176052
test1.js:13 x : 401.7994365060536, y : 301.3414223955679, time stamp : 1626780177318
test1.js:13 x : 692.410849819756, y : 16.082326724251622, time stamp : 1626780178585
test1.js:13 x : 741.1499165251271, y : 71.91877769429968, time stamp : 1626780179852
test1.js:13 x : 731.3645219500015, y : 2.1820276833024757, time stamp : 1626780181102
test1.js:13 x : 858.0294575230749, y : 8.137235898069274, time stamp : 1626780182398
test1.js:13 x : 1047.8270733904312, y : 41.24225405791884, time stamp : 1626780183660
test1.js:13 x : 602.691129679792, y : 238.84217390708972, time stamp : 1626780184968
test1.js:13 x : 542.8588838142568, y : 337.13157907106637, time stamp : 1626780186213
test1.js:13 x : 579.0278556736351, y : 216.87090676248744, time stamp : 1626780187467
test1.js:13 x : 585.1783842439219, y : 292.7603982511181, time stamp : 1626780188850
test1.js:13 x : 499.2076901593615, y : 227.28632123715457, time stamp : 1626780190119
test1.js:13 x : 612.8842202155262, y : 340.7942775846289, time stamp : 1626780191434
test1.js:13 x : 965.2183423709798, y : 324.1092521597901, time stamp : 1626780192735
test1.js:13 x : 979.2729724652951, y : 420.5080522903469, time stamp : 1626780193965
test1.js:13 x : 1005.7924368494297, y : 376.0776540895689, time stamp : 1626780195282
test1.js:13 x : 985.6029507033041, y : 417.36663667532986, time stamp : 1626780196589
test1.js:13 x : 1078.7868404018527, y : 442.42209307818507, time stamp : 1626780197946
test1.js:13 x : 776.6422050059272, y : 576.0169692176328, time stamp : 1626780199301
test1.js:13 x : 845.3589065161261, y : 493.69933698110583, time stamp : 1626780200634
test1.js:13 x : 1026.456530523251, y : 472.39027135950477, time stamp : 1626780201978
test1.js:13 x : 631.8663046441666, y : 571.7493773667686, time stamp : 1626780203365
test1.js:13 x : 655.031666962718, y : 504.33747434696244, time stamp : 1626780204879
test1.js:13 x : 849.4650208531116, y : 592.3533233154385, time stamp : 1626780206208
test1.js:13 x : 576.3883001253462, y : 459.77424292285644, time stamp : 1626780207678
test1.js:13 x : 659.3452128774574, y : 499.3312967848126, time stamp : 1626780208944
test1.js:13 x : 626.5488500258743, y : 608.0682631554911, time stamp : 1626780210364
test1.js:13 x : 668.1192016658781, y : 502.45926595532285, time stamp : 1626780211694
test1.js:13 x : 855.753998335565, y : 330.7140142020306, time stamp : 1626780213027
test1.js:13 x : 1244.116447067897, y : 440.8067889226995, time stamp : 1626780214304
test1.js:13 x : 1036.4230040286518, y : 450.8122301021848, time stamp : 1626780215611
test1.js:13 x : 1018.682402437375, y : 483.5050371413273, time stamp : 1626780216957
test1.js:13 x : 958.5274426457922, y : 386.2644364088443, time stamp : 1626780218235
test1.js:13 x : 986.7122435246407, y : 306.7941268700304, time stamp : 1626780219611
test1.js:13 x : 699.1571034170979, y : 636.0848501895673, time stamp : 1626780220978
test1.js:13 x : 701.2092121790588, y : 274.9368031689643, time stamp : 1626780222260
test1.js:13 x : 1418.81685247778, y : 402.98239260258407, time stamp : 1626780223523
test1.js:13 x : 1606.2982491054968, y : 101.98552325022752, time stamp : 1626780224815
test1.js:13 x : 1897.5267987317561, y : -7.230704532488414, time stamp : 1626780226152
test1.js:13 x : 716.7666059653487, y : 500.6212310372124, time stamp : 1626780227485
test1.js:13 x : 950.0864041100247, y : 443.5360188998471, time stamp : 1626780228826
test1.js:13 x : 909.2878142700926, y : 489.63584331570297, time stamp : 1626780230087
12webgazer.js:138652 Red Border!
test1.js:13 x : -512.0241141462933, y : -686.6189209738916, time stamp : 1626780231385
5webgazer.js:138652 Red Border!
test1.js:13 x : 718.3959706342248, y : 616.849264802288, time stamp : 1626780232680
test1.js:13 x : 702.5258322740588, y : 524.741465625867, time stamp : 1626780233969
test1.js:13 x : 716.9860832700692, y : 648.1783686791523, time stamp : 1626780235280
test1.js:13 x : 664.1542420744067, y : 467.94319088601844, time stamp : 1626780236680
test1.js:13 x : 1944.7674678231565, y : 58.9423049794856, time stamp : 1626780237961
test1.js:13 x : 634.6771764360476, y : 428.7401286418856, time stamp : 1626780239208
test1.js:13 x : 2004.6307248298313, y : -52.0671632327871, time stamp : 1626780240503
test1.js:13 x : 869.6352027689786, y : 414.31548494295305, time stamp : 1626780241817
test1.js:13 x : 565.2108409201496, y : 394.360922156119, time stamp : 1626780243152
test1.js:13 x : 582.1006155159548, y : 146.2652186308486, time stamp : 1626780244535
test1.js:13 x : 1201.4042815807236, y : 460.2387428042264, time stamp : 1626780245876
DevTools failed to load source map: Could not load content for http://localhost:3000/webgazer.js.map: HTTP error: status code 404, net::ERR_HTTP_RESPONSE_CODE_FAILURE
test1.js:13 x : 1192.5544578456356, y : 869.2845832279581, time stamp : 1626780247354
test1.js:13 x : 1213.381477139957, y : 1019.1851740134387, time stamp : 1626780248705
